ID,LONGITUDE,LATITUDE,VENUE,HOST_CLUB,SUBURB,STATUS
1,115.8257632,-32.06242979,Morris Buzzacott Reserve,CBC Fremantle,Kardinya,Active
2,115.8409502,-32.04023746,Karoonda Reserve,Brentwood Booragoon,Booragoon,Active
3,115.7946502,-32.03535809,Melville Reserve,Melville,Melville,Active
4,115.8060077,-32.08538912,Tempest Park,Coolbellup,Coolbellup,Active
5,115.7716985,-32.08459288,Davilak Reserve,Cockburn Cobras,Hamilton Hill,Active
6,115.7587643,-32.03507899,Gil Fraser Oval,North Fremantle,North Fremantle,Active
7,115.7676477,-32.01977864,Tom Perrott Reserve,Mosman Park,Mosman Park,Active
8,115.7553129,-31.99990978,Cottesloe Oval,Cottesloe,Cottesloe,Active
9,115.8436156,-32.11774694,Anning Park,Cockburn Lakes,South Lake,Active
10,115.8633754,-32.14134361,Atwell Reserve,Jandakot,Atwell,Active
11,115.8664955,-32.01527315,James Miller Oval,Manning,Manning,Active
12,115.8900356,-32.00884642,South Oval,Curtin University Wesley,Bentley,Active
13,115.875948,-31.99731409,Bill Grayden Reserve,Trinity Aquinas,Como,Active
14,115.8821643,-32.05411786,Burrendah Park,Willetton,Willetton,Active
15,115.869231,-32.07164018,Beasley Park,Bull Creek Leeming,Leeming,Active
16,115.923925,-32.03300386,Ferndale Park,Lynwood Ferndale,Ferndale,Active
17,115.9051224,-32.09450205,Clifton Park Oval,Canning Vale,Canning Vale,Active
18,115.924388,-32.1244298,Piara Reserve,Piara Waters,Piara Waters,Active
19,115.9547107,-32.05795567,Thornlie Oval,Thornlie,Thornlie,Active
20,115.9963124,-32.07163251,Gosnells Oval,Gosnells,Gosnells,Active
21,116.0068897,-32.12518622,John Dunn Memorial Oval,Kelmscott,Kelmscott,Active
22,116.0689755,-32.11140919,Cross Park,Roleystone,Roleystone,Active
23,116.0058822,-32.15847824,Gwynne Park,Armadale,Armadale,Active
24,116.0116379,-32.05483991,Harmony Fields,Maddington,Maddington,Active
25,115.9698685,-32.02445531,Mills Park,Kenwick,Beckenham,Active
26,115.8102057,-32.23243987,Medina Oval,Kwinana,Medina,Active
27,115.8204614,-32.30656068,Baldivis Reserve,Baldivis,Baldivis,Active
