,Date,Game Number,HomeTeam,AwayTeam,Grade,Competition,Notes,GameID,Venue,Suburb,Count_Oval,Count_HomeTeam,Count_AwayTeam,Count_Club,latitude,longitude
0,6/10/2017,1,Kelmscott,Maddington,B,Reserves,,G01,John Dunn Memorial Oval,Kelmscott ,1,1,1,2,-32.12518622,116.0068897
1,6/17/2017,2,Melville,Kenwick,C1,Reserves,,G02,Melville Reserve,Melville ,1,1,1,2,-32.03535809,115.7946502
2,6/17/2017,3,Melville,Kenwick,C1,League,,G03,Melville Reserve,Melville ,2,2,2,4,-32.03535809,115.7946502
3,6/24/2017,4,Thornlie,Ballajura,C1,Reserves ,,G04,Thornlie Oval,Thornlie ,1,1,1,2,-32.05795567,115.9547107
4,6/24/2017,5,Thornlie,Ballajura,C1,League,,G05,Thornlie Oval,Thornlie,2,2,2,4,-32.05795567,115.9547107
5,7/01/2017,6,Kelmscott,Wanneroo,B,Reserves,Forfeit,G06,John Dunn Memorial Oval,Kelmscott,2,2,1,3,-32.12518622,116.0068897
6,7/01/2017,7,Kelmscott,Wanneroo,B,League,,G07,John Dunn Memorial Oval,Kelmscott,3,3,2,5,-32.12518622,116.0068897
7,7/08/2017,8,Mt Lawley,Hamersley Carine,B,Reserves,,G08,Hamer Park,Mt Lawley,1,1,1,2,-31.9220057,115.8723783
8,7/08/2017,9,Mt Lawley,Hamersley Carine,B,League,,G09,Hamer Park,Mt Lawley,2,2,2,4,-31.9220057,115.8723783
9,7/15/2017,10,Kelmscott,Swan Athletic,B,Reserves,,G10,John Dunn Memorial Oval,Kelmscott,4,4,1,5,-32.12518622,116.0068897
10,7/15/2017,11,Kelmscott,Swan Athletic,B,League,,G11,John Dunn Memorial Oval,Kelmscott,5,5,2,7,-32.12518622,116.0068897
11,7/22/2017,12,Curtin University Wesley,University,A,League,,G12,South Oval,Bentley,1,1,1,2,-32.00884642,115.8900356
12,7/22/2017,13,Curtin University Wesley,University,A,Colts,,G13,South Oval,Bentley,2,2,2,4,-32.00884642,115.8900356
13,7/29/2017,14,Maddington,Swan Athletic,B,Reserves,,G14,Harmony Fields,Maddington ,1,1,3,4,-32.05483991,116.0116379
14,7/29/2017,15,Maddington,Swan Athletic,B,League,,G15,Harmony Fields,Maddington ,2,2,4,6,-32.05483991,116.0116379
15,8/05/2017,16,University,Trinity Aquinas,A,Reserves,,G16,UWA Sports Park,Mt Claremont ,1,1,1,2,-31.95191389,115.7862036
16,8/05/2017,17,University,Trinity Aquinas,A,League,,G17,UWA Sports Park,Mt Claremont ,2,2,2,4,-31.95191389,115.7862036
17,8/12/2017,18,Trinity Aquinas,Kalamunda,A,Reserves,,G18,Bill Grayden Reserve,Como,1,1,1,2,-31.99731409,115.875948
18,8/12/2017,19,Trinity Aquinas,Kalamunda,A,League,,G19,Bill Grayden Reserve,Como,2,2,2,4,-31.99731409,115.875948
19,8/19/2017,20,Wanneroo,North Fremantle,B,League,Qualifying Final,G20,Gil Fraser Oval,North Fremantle ,1,1,1,2,-32.03507899,115.7587643
20,8/19/2017,21,North Fremantle,Wanneroo,B,Colts,Qualifying Final,G21,Gil Fraser Oval,North Fremantle ,2,1,3,4,-32.03507899,115.7587643
21,8/26/2017,22,Thornlie,Quinns District,C1,League,Semi Final,G22,Thornlie Oval,Thornlie ,3,3,1,4,-32.05795567,115.9547107
22,8/26/2017,23,Quinns District,Ballajura,C1,Reserves ,Semi Final,G23,Thornlie Oval,Thornlie ,4,1,3,4,-32.05795567,115.9547107
23,9/02/2017,24,Warnbro Swans,Bassendean,C2,League,Preliminary Final,G24,Warnbro Sporting Complex,Warnbro,1,1,1,2,-32.3296163,115.7519065
24,9/09/2017,25,Jandakot,Osborne Park,C4,Reserves,Grand Final,G25,Forster Park,Cloverdale,1,1,1,2,-31.96841277,115.945332
25,9/09/2017,26,Secret Harbour,Kwinana,C4 ,League,Grand Final,G26,Forster Park,Cloverdale,2,1,1,2,-31.96841277,115.945332
