,Matches Completed At Time,Venue,Number Of Matches Completed At Venue,Host Club,Suburb Location Of Venue,Latitude,Longitude
0,0,Dalkeith Oval,0,Collegians,Dalkeith,-32.00128593,115.7951273
1,0,Heathridge Oval,0,Ocean Ridge,Heathridge,-31.76805127,115.7579837
2,0,Jubilee Reserve,0,Bassendean,Eden Hill,-31.89086827,115.9413748
3,0,Inglewood Oval,0,Mount Lawley,Mount Lawley,-31.92027662,115.8743075
4,0,Pat Goodridge Reserve,0,Wembley,Jolimont,-31.94531942,115.805888
5,0,Forster Park,0,Belmont Districts,Cloverdale,-31.96841277,115.945332
6,0,South Oval,0,Curtin University Wesley,Bentley,-32.00884642,115.8900356
7,0,Beasley Park,0,Bull Creek Leeming,Leeming,-32.07164018,115.869231
8,0,John Dunn Memorial Oval,0,Kelmscott,Kelmscott,-32.12518622,116.0068897
9,0,Ray Owen Reserve,0,Kalamunda,Lesmurdie,-32.00142326,116.0441285
10,0,Wanneroo Showgrounds,0,Wanneroo,Wanneroo,-31.7567764,115.8035971
11,0,Kingsway Reserve,0,Kingsway,Madeley,-31.81807322,115.8343469
12,0,Wyong Reserve,0,Canning South Perth,Bentley,-32.01013345,115.9138305
13,0,Clifton Park Oval,0,Canning Vale,Canning Vale,-32.09450205,115.9051224
14,0,Anning Park,0,Cockburn Lakes,South Lake,-32.11774694,115.8436156
15,0,Hamer Park,0,Mount Lawley,Mount Lawley,-31.9220057,115.8723783
16,0,UWA Sports Park,0,University,Mt Claremont,-31.95191389,115.7862036
17,0,Burrendah Park,0,Willetton,Willetton,-32.05411786,115.8821643
18,0,Atwell Reserve,0,Jandakot,Atwell,-32.14134361,115.8633754
19,0,Swan Athletic Sporting Club,0,Swan Athletic,Herne Hill,-31.82496253,116.019822
20,0,Bill Grayden Reserve,0,Trinity Aquinas,Como,-31.99731409,115.875948
21,0,Carlisle Reserve,0,Carlisle,Carlisle,-31.9812595,115.928471
22,0,Thornlie Oval,0,Thornlie,Thornlie,-32.05795567,115.9547107
23,0,Ridgewood Park,0,Quinns District,Ridgewood,-31.66951794,115.724327
24,0,Kingsley Park,0,Kingsley,Kingsley,-31.80566529,115.7894548
25,0,Harmony Fields,0,Maddington,Maddington,-32.05483991,116.0116379
26,0,East Fremantle Oval,0,None (GF Venue),East Fremantle,-32.04584182,115.7685657
27,0,Gosnells Oval,0,Gosnells,Gosnells,-32.07163251,115.9963124
28,0,Cross Park,0,Roleystone,Roleystone,-32.11140919,116.0689755
29,0,Warnbro Sporting Complex,0,Warnbro,Warnbro,-32.3296163,115.7519065
30,0,Macdonald Reserve,0,Whitford,Padbury,-31.80364653,115.7583683
31,0,Gil Fraser Oval,0,North Fremantle,North Fremantle,-32.03507899,115.7587643
32,0,Morris Buzzacott Reserve,0,CBC Fremantle,Kardinya,-32.06242979,115.8257632
